上信観光,4,土日祝,需要あり,売上,3094000,76160
上信観光,4,土日祝,需要なし,売上,2951200,76160
上信観光,4,平日,需要あり,売上,20172000,747840
上信観光,4,平日,需要なし,売上,12595200,747840
日本中央,4,土日祝,需要あり,売上,0,57120
日本中央,4,土日祝,需要なし,売上,0,57120
日本中央,4,平日,需要あり,売上,0,1259520
日本中央,4,平日,需要なし,売上,0,1259520
永井運輸,4,土日祝,需要あり,売上,0,114240
永井運輸,4,土日祝,需要なし,売上,0,114240
永井運輸,4,平日,需要あり,売上,5904000,1338240
永井運輸,4,平日,需要なし,売上,4723200,1338240
群馬バス,4,土日祝,需要あり,売上,0,0
群馬バス,4,土日祝,需要なし,売上,0,0
群馬バス,4,平日,需要あり,売上,0,78720
群馬バス,4,平日,需要なし,売上,0,78720
群馬中央,4,土日祝,需要あり,売上,0,57120
群馬中央,4,土日祝,需要なし,売上,0,57120
群馬中央,4,平日,需要あり,売上,0,708480
群馬中央,4,平日,需要なし,売上,0,708480
関越交通,4,土日祝,需要あり,売上,0,38080
関越交通,4,土日祝,需要なし,売上,0,38080
関越交通,4,平日,需要あり,売上,0,393600
関越交通,4,平日,需要なし,売上,1082400,393600
上信観光,5,土日祝,需要あり,売上,3141600,19040
上信観光,5,土日祝,需要なし,売上,2808400,19040
上信観光,5,平日,需要あり,売上,26272800,0
上信観光,5,平日,需要なし,売上,23911200,0
日本中央,5,土日祝,需要あり,売上,0,76160
日本中央,5,土日祝,需要なし,売上,0,76160
日本中央,5,平日,需要あり,売上,0,236160
日本中央,5,平日,需要なし,売上,0,236160
永井運輸,5,土日祝,需要あり,売上,0,114240
永井運輸,5,土日祝,需要なし,売上,0,114240
永井運輸,5,平日,需要あり,売上,8265600,275520
永井運輸,5,平日,需要なし,売上,492000,275520
群馬バス,5,土日祝,需要あり,売上,0,0
群馬バス,5,土日祝,需要なし,売上,0,0
群馬バス,5,平日,需要あり,売上,0,39360
群馬バス,5,平日,需要なし,売上,0,39360
群馬中央,5,土日祝,需要あり,売上,0,38080
群馬中央,5,土日祝,需要なし,売上,0,38080
群馬中央,5,平日,需要あり,売上,0,118080
群馬中央,5,平日,需要なし,売上,0,118080
関越交通,5,土日祝,需要あり,売上,0,76160
関越交通,5,土日祝,需要なし,売上,0,76160
関越交通,5,平日,需要あり,売上,0,118080
関越交通,5,平日,需要なし,売上,0,118080
上信観光,4,土日祝,需要あり,支出,1428000,963900
上信観光,4,土日祝,需要なし,支出,1428000,963900
上信観光,4,平日,需要あり,支出,2952000,2324700
上信観光,4,平日,需要なし,支出,2656800,2324700
日本中央,4,土日祝,需要あり,支出,0,1106700
日本中央,4,土日祝,需要なし,支出,0,1106700
日本中央,4,平日,需要あり,支出,0,4766250
日本中央,4,平日,需要なし,支出,0,4766250
永井運輸,4,土日祝,需要あり,支出,0,1499400
永井運輸,4,土日祝,需要なし,支出,0,1499400
永井運輸,4,平日,需要あり,支出,295200,4132800
永井運輸,4,平日,需要なし,支出,295200,4132800
